start,end,resource,detail
2367,2368,"MXM.E0.ActivationLoad","down SwiGLU block=46"
2367,2368,"MXM.W0.ActivationLoad","down SwiGLU block=46"
2371,2380,"MXM.E0.Compute","down columns 0..287 reduction=46 dst=sram"
2371,2380,"MXM.W0.Compute","down columns 288..575 reduction=46 dst=sram"
2380,2399,"MEM.E.Read","down weights columns 0..287 reduction=47"
2380,2399,"MEM.W.Read","down weights columns 288..575 reduction=47"
2391,2392,"MXM.E0.ActivationLoad","down SwiGLU block=47"
2391,2392,"MXM.W0.ActivationLoad","down SwiGLU block=47"
2395,2404,"MXM.E0.Compute","down columns 0..287 reduction=47 dst=sram"
2395,2404,"MXM.W0.Compute","down columns 288..575 reduction=47 dst=sram"
2419,2428,"MXM.E0.AccumulatorRead","down columns 0..287 dst=stream+clear"
2419,2428,"MXM.W0.AccumulatorRead","down columns 288..575 dst=stream+clear"
2421,2430,"MEM.E.Write","final FP32 down output columns 0..287"
